,Developer,Año,Cantidad de Items,Contenido Free
3288,"David Hensley,Alex Quick",2014,1,100.0
3289,David J Ozsvath,2017,2,0.0
3290,David Kilmer,2017,1,0.0
3291,David Ko,2017,2,0.0
3292,David Krinkel,2017,3,0.0
3293,"David Lawrence,Nico Thomas",2015,2,0.0
3294,David Mccue,2016,3,0.0
3295,David Mulder,2015,1,0.0
3296,David Mulder,2016,7,0.0
3297,David Mulder,2017,2,50.0
3298,"David Mulder,Tristan Hartz",2016,2,0.0
3299,David Newton,2015,3,0.0
3300,"David Nguyen,David Chang",2017,5,0.0
3301,David O'Boyle,2015,1,0.0
3302,David OReilly,2014,4,0.0
3303,David OReilly,2017,8,0.0
3304,David Ogden,2017,4,0.0
3305,David Pierucci,2016,5,0.0
3306,David Ruland,2017,3,0.0
3307,David S Gallant,2012,1,0.0
3308,David Schneider,2017,2,0.0
3309,David Simpson,2017,3,0.0
3310,David Sof,2017,6,0.0
3311,David Stark,2015,4,0.0
3312,David Su,2017,4,0.0
3313,David Szymanski,2014,5,60.0
3314,David Szymanski,2015,10,0.0
3315,"David Vogt,Christoph Winkler",2015,4,0.0
3316,David Wehle,2015,2,0.0
3317,David Wehle,2017,2,0.0
3318,David Williamson,2012,3,0.0
3319,Davide A. Fiandra,2016,2,0.0
3320,Davioware and Quazi,2015,4,0.0
3321,Davioware and Quazi,2016,4,0.0
3322,Davit Andreasyan,2017,2,0.0
3323,Dawei Liu,2017,3,0.0
3324,Dawid Bujak,2016,2,0.0
3325,Day 1 Studios,2011,1,0.0
3326,Day Dreamer Games,2015,1,0.0
3327,DayByDay Studio,2017,6,0.0
3328,Daybreak Game  Company,2014,3,0.0
3329,Daybreak Game Company,2011,8,100.0
3330,Daybreak Game Company,2012,6,100.0
3331,Daybreak Game Company,2014,18,0.0
3332,Daybreak Game Company,2015,19,0.0
3333,Daybreak Game Company,2016,25,0.0
3334,Daybreak Game Company,2017,25,0.0
3335,Daybreak Games,2015,1,0.0
3336,Daydream Software,2016,2,0.0
3337,Daylight Studios,2015,4,0.0
3338,Daylight Studios,2017,12,0.0
3339,Days of Wonder,2011,3,100.0
3340,Days of Wonder,2012,15,0.0
3341,Days of Wonder,2013,6,0.0
3342,Days of Wonder,2015,5,0.0
3343,Days of Wonder,2016,9,0.0
3344,Days of Wonder,2017,3,0.0
3345,DazlogStudio,2017,3,0.0
3346,DeXP,2014,5,100.0
3347,DeXP,2015,5,0.0
3348,DeXP,2016,11,45.45
3349,DeXP,2017,6,0.0
3350,Dead Drop Studios LLC,2017,41,0.0
3351,Dead Mage,2011,2,0.0
3352,Dead Mage,2012,2,0.0
3353,Dead Mage,2015,4,0.0
3354,Dead Shark Triplepunch,2014,3,100.0
3355,DeadBrainGaming,2017,2,0.0
3356,Deadbeat Productions,2017,2,0.0
3357,Deadghost Interactive,2014,2,0.0
3358,Deadline Games,2009,2,0.0
3359,Deadly Red Cube,2014,2,0.0
3360,"Deadly Silence Games (Alien Jellyfish),Nova Dimension",2016,5,0.0
3361,Deadspot Games,2017,2,0.0
3362,Dean Ashford,2016,4,0.0
3363,DeanForge,2015,1,0.0
3364,DeathMofuMofu,2017,4,50.0
3365,Deathink,2017,2,100.0
3366,DebonosuWorks Inc.,2015,1,0.0
3367,DebonosuWorks Inc.,2016,2,0.0
3368,Deca Games OU,2016,10,50.0
3369,Decane,2015,3,0.0
3370,Decaying Logic,2015,8,0.0
3371,Decent Machine,2015,3,0.0
3372,Decent Software LLC,2017,2,0.0
3373,Deceptive Games Ltd.,2016,6,0.0
3374,Deceptive Games Ltd.,2017,12,0.0
3375,Decerion,2017,3,0.0
3376,Deck 13,2007,1,0.0
3377,Deck 13,2009,1,0.0
3378,Deck 13,2013,3,0.0
3379,Deck 13,2016,3,0.0
3380,Deck Nine,2017,8,0.0
3381,Deck13,2005,1,0.0
3382,Deck13,2008,1,0.0
3383,Deck13,2009,4,0.0
3384,Deck13,2015,1,0.0
3385,Deck13,2017,8,25.0
3386,Deck13 Hamburg,2014,3,0.0
3387,Deck13 Hamburg,2016,2,0.0
3388,Deck13 Hamburg,2017,3,0.0
3389,Deckbound,2017,3,100.0
3390,Deckpoint Studio,2015,4,0.0
3391,"Deco Digital,Bevel Studios",2015,2,0.0
3392,"Deco Digital,Bevel Studios,Yakobo",2015,2,0.0
3393,Deconstructeam,2014,2,0.0
3394,Dede Bayi,2017,3,0.0
3395,Dedication Games,2010,3,0.0
3396,Dedication Games,2017,2,0.0
3397,Dedication Labs,2017,4,0.0
3398,Deep Red Limited,2007,1,0.0
3399,Deep Shadows,2017,2,0.0
3400,Deep Shadows Games,2017,8,0.0
3401,Deep Silver Volition,2013,38,0.0
3402,Deep Silver Volition,2014,18,0.0
3403,Deep Silver Volition,2015,1,0.0
3404,"Deep Silver Volition,High Voltage Software",2015,1,0.0
3405,Deep dark fantasy games,2017,5,0.0
3406,Deepred,2006,1,0.0
3407,Defence Alliance Team,2009,1,100.0
3408,"Defend the Cake, LLC",2017,2,0.0
3409,Defiant Development,2015,9,0.0
3410,Defiant Development,2017,3,0.0
3411,Defroids,2015,3,0.0
3412,Defroids team,2016,2,0.0
3413,Defrost Games,2014,3,0.0
3414,Degica,2013,35,0.0
3415,Degica,2014,28,0.0
3416,Degica,2017,2,0.0
3417,"Degica,Gyrowolf",2014,2,0.0
3418,"Degica,Joel Steudler",2014,2,0.0
3419,"Degica,Kairi Sawler",2014,2,0.0
3420,"Degica,Michael Galefire",2014,2,0.0
3421,"Degica,Murray Atkinson",2014,2,0.0
3422,"Degica,Scythuz",2014,2,0.0
3423,"Degica,Thalzon",2014,2,0.0
3424,"Degica,Tyler Warren",2014,4,0.0
3425,Deimos Games,2017,5,0.0
3426,Deion Mobile,2015,3,0.0
3427,Dejima,2016,3,0.0
3428,"Dejobaan Games, LLC",2008,2,0.0
3429,"Dejobaan Games, LLC",2009,3,0.0
3430,"Dejobaan Games, LLC",2011,2,0.0
3431,"Dejobaan Games, LLC",2014,2,0.0
3432,"Dejobaan Games, LLC",2016,2,0.0
3433,"Dejobaan Games, LLC,Popcannibal",2014,2,0.0
3434,Dekovir Entertainment,2014,4,0.0
3435,Dekovir Entertainment,2016,4,0.0
3436,Dekovir Entertainment,2017,4,0.0
3437,Deli Interactive LLC,2017,4,0.0
3438,"Delirium Studios,pequeño salto mortal",2015,2,0.0
3439,Delmunsoft,2015,1,100.0
3440,Delmunsoft,2017,3,0.0
3441,Delphine Software,1999,2,0.0
3442,"Delusion Arts Entertainment, LLC",2017,1,0.0
3443,Delusional Games,2016,8,0.0
3444,Delve Interactive,2015,4,0.0
3445,"Demesnegame,Composer-Motorin Dmitry (Djinotan)",2016,4,0.0
3446,Demiurge Studios,2013,9,33.33
3447,Demon Sword Games,2016,4,0.0
3448,Demon Sword Games,2017,6,0.0
3449,Demon Wagon Studios,2014,3,0.0
3450,DemonStudios,2016,4,0.0
3451,DemonVideogames,2016,2,0.0
3452,"Den-fami Nico Game Magazine,Makoto Sanada",2016,3,0.0
3453,Denis Galanin (mif2000),2012,2,0.0
3454,Denis Galanin (mif2000),2017,2,0.0
3455,Denis Isakov,2017,2,0.0
3456,Denis Lapiner,2015,3,0.0
3457,Denis Mikheikin,2017,2,0.0
3458,Denki Gaka,2017,2,0.0
3459,Dennaton Games,2012,2,0.0
3460,Dennaton Games,2013,2,0.0
3461,Dennaton Games,2015,4,0.0
3462,"Dennaton Games,Dayjob Studio",2015,1,0.0
3463,Denneko Yuugi,2015,2,0.0
3464,Dennis Esie,2015,3,0.0
3465,Denver Productions,2016,3,0.0
3466,Depth First Games,2016,3,0.0
3467,Derpy Dinos,2017,4,100.0
3468,Desert Fox,2017,2,0.0
3469,Desert Owl Games LLC,2014,3,100.0
3470,Desert Owl Games LLC,2016,4,100.0
3471,Desert Owl Games LLC,2017,14,28.57
3472,"Desert Owl Games, LLC",2016,20,0.0
3473,Desktop Gaming,2014,1,0.0
3474,DesktopPaints,2015,4,0.0
3475,DesktopPaints LLC,2017,4,0.0
3476,Destiny.Games,2016,5,0.0
3477,Destructive Creations,2015,2,0.0
3478,Destructive Creations,2016,2,0.0
3479,Dev Arc,2017,9,0.0
3480,Dev9k,2017,3,0.0
3481,DevGamm,2017,3,0.0
3482,DevPossible,2017,1,0.0
3483,Devdan Games,2015,4,0.0
3484,Devdan Games,2017,9,0.0
3485,Devespresso Games,2015,2,0.0
3486,Devil's Details,2011,1,0.0
3487,Devil's Details,2012,5,0.0
3488,Devil's Dozen Games,2016,3,0.0
3489,DevilishGames,2016,3,0.0
3490,Devin Eastmond,2017,2,0.0
3491,Devin Sherry,2015,2,0.0
3492,Devm Games,2016,2,0.0
3493,Devoga,2016,3,0.0
3494,Dewdrop Games,2016,5,0.0
3495,Dexion Games,2017,65,0.0
3496,Dexmes,2016,4,0.0
3497,Dextrit,2017,6,0.0
3498,Deydrihm,2017,5,100.0
3499,Dez,2015,4,0.0
3500,Dharker Studio,2015,10,0.0
3501,Dharker Studio,2016,27,0.0
3502,DiP Online,2016,6,100.0
3503,DiPi Games,2016,3,0.0
3504,Diablohead,2017,4,0.0
3505,"Diabolical Mind,Daniel Fernandez Chavez",2017,4,0.0
3506,Diagrammet AB,2016,4,0.0
3507,Dialogue Design,2008,2,0.0
3508,Dice7,2016,5,0.0
3509,Dicesuki,2017,6,50.0
3510,DiceyCraft,2017,3,0.0
3511,Die Gute Fabrik,2014,2,0.0
3512,"Diego Fernandes Malinowsky,Daniel Fernandes Malinowsky,Altanir Aparecida Fernandes Malinowsky",2017,1,0.0
3513,Diego Rodrigues,2016,4,0.0
3514,Diel Mormac Games,2017,1,0.0
3515,DiezelPower,2010,2,0.0
3516,DiezelPower,2016,4,0.0
3517,Different Tuna,2014,1,0.0
3518,Digdog Studio,2017,5,0.0
3519,Digerati Distribution,2013,3,0.0
3520,DiggerWorld Ltd.,2015,2,0.0
3521,"Diggidy.net, LLC",2015,4,0.0
3522,DigiFX Interactive,1996,1,0.0
3523,DigiFeather,2017,2,0.0
3524,DigiMight,2017,3,0.0
3525,Digilie Studio s.n.c.,2015,2,0.0
3526,Digital Arrow,2011,2,0.0
3527,Digital Awakening,2017,4,0.0
3528,Digital Bounce House,2016,1,0.0
3529,Digital Concepts,1993,2,0.0
3530,Digital Confectioners,2014,3,0.0
3531,Digital Confectioners,2015,34,0.0
3532,Digital Confectioners,2016,2,0.0
3533,Digital Confectioners,2017,2,0.0
3534,Digital Continue,2017,6,0.0
3535,"Digital Cookie Co., Ltd.",2017,6,0.0
3536,Digital Crafter,2016,2,0.0
3537,Digital Cybercherries,2016,6,0.0
3538,Digital Cybercherries,2017,5,0.0
3539,Digital Dawn Studios,2015,6,0.0
3540,Digital Dawn Studios,2016,3,0.0
3541,Digital Dreams,2016,2,0.0
3542,Digital Dreams Entertainment LLC,2015,2,0.0
3543,Digital Dreams Entertainment LLC,2017,3,0.0
3544,Digital Eel,2008,2,100.0
3545,Digital Eel,2011,2,100.0
3546,Digital Eel,2013,4,0.0
3547,Digital Eel,2015,4,0.0
3548,Digital Entertainment,2015,7,0.0
3549,Digital Extremes,2009,1,0.0
3550,Digital Extremes,2012,1,0.0
3551,Digital Extremes,2013,2,100.0
3552,Digital Extremes,2017,20,0.0
3553,Digital Furnace Games,2014,6,0.0
3554,Digital Furnace Games,2015,3,0.0
3555,Digital Fusion,2006,1,0.0
3556,Digital Fusion Inc.,2000,3,0.0
3557,Digital Fusion Inc.,2002,3,0.0
3558,Digital Fusion Inc.,2003,2,0.0
3559,Digital Fusion Inc.,2007,3,0.0
3560,Digital Future Lab,2016,4,0.0
3561,Digital Future Lab,2017,4,0.0
3562,Digital Graveyard Ltd.,2015,5,0.0
3563,Digital Happiness,2013,2,0.0
3564,Digital Happiness,2014,4,0.0
3565,Digital Leisure Inc.,1983,3,0.0
3566,Digital Leisure Inc.,1984,3,0.0
3567,Digital Leisure Inc.,1991,3,0.0
3568,Digital Leisure Inc.,2014,3,0.0
3569,Digital Leisure Inc.,2015,4,100.0
3570,Digital Media Workshop,2015,3,0.0
3571,Digital Melody,2015,3,0.0
3572,Digital Melody,2016,12,0.0
3573,Digital Reality,1997,1,0.0
3574,Digital Reality,2002,3,0.0
3575,Digital Reality,2011,2,0.0
3576,Digital Reality,2012,2,0.0
3577,Digital Reality,2014,3,0.0
3578,Digital Reality Software &amp; Playbox,2012,1,0.0
3579,"Digital Reality,Grasshopper Manufacture,Gyroscope Games",2017,1,0.0
3580,"Digital Reality,Gyroscope Games",1999,1,0.0
3581,"Digital Skills,The Game Creators",2015,5,0.0
3582,"Digital Skills,The Game Creators",2016,5,0.0
3583,"Digital Skills,The Game Creators",2017,6,0.0
3584,Digital Soul Games,2015,3,0.0
3585,Digital Tentacle,2014,2,0.0
3586,Digital Theory Ltd.,2017,1,0.0
3587,Digital Traction,2013,1,0.0
3588,Digital Train Model,2012,3,0.0
3589,Digital Train Model,2013,4,0.0
3590,Digital Train Model,2014,2,0.0
3591,Digital Train Model,2015,3,0.0
3592,Digital Train Model,2016,1,0.0
3593,Digital Train Model,2017,8,0.0
3594,Digital Upthrust,2017,3,0.0
3595,DigitalDNA Games LLC,2014,2,0.0
3596,DigitalWolfByte,2017,5,0.0
3597,DigitalWorldEntertainment,2016,4,0.0
3598,Digitalfossils Ltd,2017,1,0.0
3599,Digitallion,2016,8,0.0
3600,Digitalmindsoft,2011,6,0.0
3601,Digitalmindsoft,2014,6,0.0
3602,Digitalmindsoft,2015,11,0.0
3603,Digitalmindsoft,2016,14,42.86
3604,"Digitial Skills,The Game Creators",2015,5,0.0
3605,Digitized Organism,2017,4,0.0
3606,"Digits Crossed Interactive, LLC",2016,2,0.0
3607,Diios,2015,3,0.0
3608,Dikobraz Games,2017,4,0.0
3609,DillyFrame,2017,2,0.0
3610,Dima Kiva,2015,1,0.0
3611,Dima Kiva,2016,5,0.0
3612,Dima Kiva,2017,1,0.0
3613,Dima Kozyr,2017,1,0.0
3614,Dime Studios,2016,4,0.0
3615,Diminished Studios,2015,6,100.0
3616,Diminished Studios,2016,4,0.0
3617,Dimitrios Floros,2017,2,0.0
3618,DimleTeam,2017,2,0.0
3619,Dimmdrive Inc.,2015,1,0.0
3620,Dinan Studios,2016,2,0.0
3621,Dincicode,2017,4,0.0
3622,Dingaling,2014,3,0.0
3623,Dingaling,2015,3,0.0
3624,Dingo Dango,2015,6,0.0
3625,Dingo Games,2015,4,0.0
3626,Dingo Games,2016,4,0.0
3627,Dingo Games,2017,4,0.0
3628,Dinofarm Games,2016,1,0.0
3629,Dinosaur Polo Club,2015,3,0.0
3630,Dio Alias Games,2017,7,0.0
3631,Dire Boar Games,2017,1,0.0
3632,Dire Boar Games,2018,2,0.0
3633,Dire Nerd Studios,2017,3,0.0
3634,Dire Wolf Digital,2016,5,100.0
3635,Dire Wolf Digital,2017,1,100.0
3636,Dirigo Games,2014,3,0.0
3637,Dirk Jacobi,2016,1,0.0
3638,Dirty Fighter Team,2017,4,0.0
3639,Dischan Media,2012,2,100.0
3640,Dischan Media,2013,4,0.0
3641,Dischan Media,2017,4,0.0
3642,Disney Interactive,2011,1,0.0
3643,Disparity Games,2015,4,0.0
3644,Displace Media,2015,2,0.0
3645,Displacement Studios,2017,2,0.0
3646,Disruptor Beam Inc.,2016,4,100.0
3647,Disruptor Beam Inc.,2017,8,0.0
3648,Dissident Logic,2015,2,0.0
3649,Dissident Logic,2016,2,0.0
3650,DistrictTeam,2017,4,0.0
3651,DistrictWare inc.,2017,3,0.0
3652,Divine Games,2017,3,100.0
3653,Dlala Studios,2015,2,0.0
3654,"Dmitriy Uvarov,Vyacheslav Shilikhin",2017,5,0.0
3655,Dmitry,2016,1,0.0
3656,Dmitry Medvedev,2017,7,100.0
3657,Dmytry Lavrov,2010,3,0.0
3658,DnS Development,2009,2,0.0
3659,DnS Development,2010,3,0.0
3660,DnS Development,2011,2,0.0
3661,DnS Development,2013,2,0.0
3662,Dnovel,2017,14,0.0
3663,Doborog Games,2017,6,50.0
3664,Doctor Entertainment AB,2010,2,0.0
3665,Doctor Entertainment AB,2015,3,100.0
3666,Dodge Roll,2014,4,0.0
3667,Dodge Roll,2016,12,0.0
3668,Dog Theory,2016,4,0.0
3669,Dogenzaka Lab,2015,1,0.0
3670,Dogenzaka Lab,2016,9,0.0
3671,Dolores Entertainment,2015,2,0.0
3672,DolpGames,2017,3,0.0
3673,DolphinBarn,2012,3,0.0
3674,DolphinBarn,2014,3,0.0
3675,Domini Games,2017,10,0.0
3676,Dominique Grieshofer,2015,3,0.0
3677,Domino Digital Limited,2017,3,0.0
3678,Domus ludus,2017,2,0.0
3679,Don Emídio Navarro Games,2017,4,0.0
3680,Don Whitaker,2015,1,0.0
3681,Donbass Games,2017,5,0.0
3682,Donley Time Foundation,2017,3,0.0
3683,Donovan Bell,2017,2,0.0
3684,Donut Games,2015,4,0.0
3685,Donut Games,2016,4,0.0
3686,Doomster Entertainment,2015,1,0.0
3687,Doomster Entertainment,2016,5,0.0
3688,Doppler Interactive,2014,3,0.0
3689,DopplerFrog,2015,2,0.0
3690,Dopterra,2016,3,0.0
3691,Doragon Entertainment,2014,2,0.0
3692,Doragon Entertainment,2017,2,0.0
3693,Dosane Games,2016,3,0.0
3694,Dosane Games,2017,8,0.0
3695,DoshMallow Games,2016,3,0.0
3696,Dot Dream,2015,5,0.0
3697,DotEmu,1994,4,0.0
3698,DotEmu,1997,1,0.0
3699,DotEmu,2015,8,0.0
3700,DotEmu,2016,1,0.0
3701,"DotEmu,DreamForge Intertainment",1998,1,0.0
3702,Dotware,2015,2,0.0
3703,Double Action Factory,2014,3,100.0
3704,Double Coconut,2017,3,100.0
3705,Double Damage Games,2015,5,0.0
3706,Double Dice Games,2017,6,0.0
3707,Double Eleven,2014,2,0.0
3708,"Double Eleven,Q-Games Ltd.",2013,2,0.0
3709,Double Fine Productions,2005,1,0.0
3710,Double Fine Productions,2011,3,0.0
3711,Double Fine Productions,2012,6,0.0
3712,Double Fine Productions,2013,8,0.0
3713,Double Fine Productions,2014,16,0.0
3714,Double Fine Productions,2015,4,0.0
3715,Double Fine Productions,2016,3,0.0
3716,"Double Fine Productions,Shiny Shoe",2017,1,0.0
3717,Double Helix Games,2008,1,0.0
3718,Double Helix Games,2010,6,0.0
3719,"Double Helix Games,Capcom",2014,2,0.0
3720,"Double Helix Games,Rainbow Studios,THQ Nordic",2010,1,0.0
3721,Double Stallion Games,2016,2,0.0
3722,Double Zero One Zero,2016,2,0.0
3723,DoubleBear Productions,2014,3,0.0
3724,DoubleBear Productions,2015,4,0.0
3725,DoubleBear Productions,2016,4,0.0
3726,DoubleDutch Games,2014,10,0.0
3727,DoubleDutch Games,2016,5,0.0
3728,DoubleMoose Games,2017,5,0.0
3729,Doublesix Games,2012,4,0.0
3730,DoubtfulSoup,2017,3,0.0
3731,Dovetail Games,2009,22,0.0
3732,Dovetail Games,2010,4,0.0
3733,Dovetail Games,2011,4,0.0
3734,Dovetail Games,2012,52,0.0
3735,Dovetail Games,2013,39,0.0
3736,Dovetail Games,2014,37,0.0
3737,Dovetail Games,2015,51,0.0
3738,Dovetail Games,2016,21,0.0
3739,Dovetail Games,2017,26,3.85
3740,Dovetail Games - Fishing,2017,4,0.0
3741,Dovetail Games - Trains,2014,3,0.0
3742,Dowino,2016,6,0.0
3743,Downpour Studios,2017,3,0.0
3744,Downward Viral,2017,2,0.0
3745,Doyodo,2015,4,0.0
3746,Dozen Minds OU,2017,3,0.0
3747,Dr Davient,2016,4,0.0
3748,Dr_Crewcut,2017,8,0.0
3749,"DracoSoftware, LLC",2017,2,0.0
3750,Draconus Entertainment Ltd,2017,6,0.0
3751,Dracue Software,2016,1,0.0
3752,"Dracue, Co. ltd",2014,2,0.0
3753,Dracula Bytes,2016,3,0.0
3754,Dracula's Cave,2016,6,0.0
3755,Dracula's Cave,2017,11,0.0
3756,Drago Entertainment,2015,3,100.0
3757,Dragom,2016,24,8.33
3758,Dragom,2017,6,33.33
3759,Dragon Foundry,2017,10,50.0
3760,Dragon Slumber,2017,2,0.0
3761,"Dragon Slumber,Brainoid",2017,3,0.0
3762,Dragon Whisper Game,2016,2,0.0
3763,Dragon Whisper Game,2017,1,0.0
3764,Dragon Wing Studio,2017,18,0.0
3765,Dragon's Games,2015,3,0.0
3766,Dragon's Games,2016,6,0.0
3767,Dragon's Games,2017,5,0.0
3768,DragonHead Studio,2015,6,0.0
3769,DragonJam Studios,2016,4,0.0
3770,DragonSix,2014,2,0.0
3771,Dragonfly,2013,8,25.0
3772,"Dragonfly GF Co., LTD",2013,15,33.33
3773,"Dragonfly GF Co., LTD",2015,5,0.0
3774,"Dragonfly GF Co., LTD",2016,5,0.0
3775,"Dragonfly GF Co., LTD",2017,15,33.33
3776,Dragons Eye Studio,2011,3,0.0
3777,Drahcir,2016,1,0.0
3778,Drakeling Labs,2017,4,0.0
3779,Drakhar Studio,2016,2,0.0
3780,Drakkar Dev,2014,2,0.0
3781,Drama Drifters,2016,1,0.0
3782,Dranya Studio,2017,3,0.0
3783,Drawbridge Designs,2015,1,0.0
3784,DreaMory,2016,6,0.0
3785,Dreadbit,2015,12,0.0
3786,Dreadbit,2016,5,0.0
3787,Dream Clay Studio,2015,3,0.0
3788,"Dream Forge Entertainment, LLC",2009,2,0.0
3789,"Dream Holdings,TAKAGISM Inc.",2016,2,0.0
3790,Dream Reactor,2016,16,25.0
3791,Dream Reactor,2017,4,0.0
3792,Dream Real,2017,4,0.0
3793,Dream Up,2011,1,0.0
3794,Dream Within,2016,5,0.0
3795,DreamDale,2017,2,0.0
3796,DreamEscape,2017,4,100.0
3797,"DreamInCode B.V.,Squadron Interactive",2018,7,0.0
3798,DreamPunks,2017,3,0.0
3799,DreamRoad Productions,2017,3,0.0
3800,DreamSail Games,2016,6,0.0
3801,Dreamatrix,2007,2,0.0
3802,Dreamatrix,2013,1,0.0
3803,Dreamatrix,2014,1,0.0
3804,Dreamatrix,2015,7,0.0
3805,Dreamatrix,2016,1,0.0
3806,Dreamcatcher Studio,2018,7,0.0
3807,Dreamcraft Entertainment,2017,4,0.0
3808,Dreamloop Games,2015,3,0.0
3809,Dreampainters,2013,2,0.0
3810,Dreampainters Software,2014,1,0.0
3811,DreamsSoftGames,2015,13,0.0
3812,DreamsSoftGames,2016,3,0.0
3813,DreamsSoftGames,2017,4,0.0
3814,Dreamsite Games,2015,8,0.0
3815,Dreamwalker Games,2016,1,0.0
3816,Dreamworlds,2014,3,0.0
3817,Dreamy Doe,2017,2,0.0
3818,Dreamz Studio,2017,3,100.0
3819,Drew Radley,2016,2,0.0
3820,Drew Wallace,2017,4,0.0
3821,Drift Physics Crew,2017,48,0.0
3822,DrinkBox Studios,2012,2,0.0
3823,DrinkBox Studios,2013,3,0.0
3824,DrinkBox Studios,2014,3,0.0
3825,"DrinkingNails, LLC",2016,2,0.0
3826,"DrinkingNails, LLC",2017,2,0.0
3827,"DrinkingNails, LLC,PurpleFreezer",2016,2,0.0
3828,Drixy Games,2015,5,0.0
3829,Drizzly Bear,2016,8,0.0
3830,Droog71,2015,3,0.0
3831,Drool,2016,2,0.0
3832,Drop Dead Interactive,2016,4,0.0
3833,DropDGames,2015,6,0.0
3834,Drop_Dead_Fred (Фред),2017,11,0.0
3835,Droqen,2012,2,0.0
3836,Droqen,2013,2,0.0
3837,"Dror Riov,Evgeny Osmet",2017,4,0.0
3838,Druid Gameworks Studio LLC,2017,7,0.0
3839,Drunk Animations,2016,3,0.0
3840,Dry Cactus,2016,4,0.0
3841,DuCats Games Studio,2015,2,0.0
3842,DuCats Games Studio,2016,2,0.0
3843,Duaik Entretenimento,2014,4,0.0
3844,Dualhaze,2016,3,0.0
3845,Duang,2016,4,0.0
3846,"Duang! Games, LLC",2016,1,0.0
3847,Dubrovkin Sergei,2015,2,0.0
3848,Ducat,2017,3,0.0
3849,Duck,2017,2,0.0
3850,Duck Duck Zeus,2016,4,0.0
3851,Duckbridge,2015,9,0.0
3852,Duckman Army Games,2017,1,0.0
3853,Duckvalley Productions,2015,3,0.0
3854,Duct Tape Games,2015,3,0.0
3855,Ductape studio,2016,1,0.0
3856,Duel Studios,2017,8,0.0
3857,Duelboot,2014,3,0.0
3858,"Dugan,Gabor,Electric Cafe",2014,2,0.0
3859,Duion,2014,4,100.0
3860,"Dumativa Creative Studio,Castro Brothers",2016,3,0.0
3861,"Dumativa Creative Studio,Castro Brothers",2017,6,0.0
3862,Dumb and Fat Games,2013,4,0.0
3863,Dumb and Fat Games,2015,4,0.0
3864,Dumbfounded,2016,4,0.0
3865,"Duncan Perham,Steve Tierney",2016,5,0.0
3866,Dunfan Lu,2017,3,0.0
3867,Dungeoneering Studios,2016,4,0.0
3868,Duoji Network technology,2017,5,0.0
3869,Duplicator Studio,2016,2,0.0
3870,Durbek,2017,2,0.0
3871,Dust Devil Studios Inc.,2010,1,0.0
3872,Dust Scratch Games,2015,4,0.0
3873,Dustin Gunn,2014,3,0.0
3874,Dwarves Might Fly,2015,3,0.0
3875,DyingCat,2016,3,0.0
3876,Dylan Fitterer,2008,1,0.0
3877,Dylan Fitterer,2015,3,0.0
3878,Dylan Loney,2014,4,0.0
3879,Dylan Wentz,2015,2,0.0
3880,Dymchick1,2016,2,0.0
3881,DynF/X Digital,2017,9,0.0
3882,Dynamic Games,2014,1,0.0
3883,Dynamic Media Triad,2015,2,0.0
3884,Dynamic Pixels,2017,3,0.0
3885,Dynamix,1997,1,0.0
3886,Dynasty Interactive Ltd,2017,6,0.0
3887,Dynow Studio,2016,2,0.0
3888,Dyrnwyn Games,2017,4,0.0
3889,DysTop,2017,2,0.0
3890,Dysotek,2015,2,0.0
3891,Dzsembori,2011,3,0.0
3892,Dénis Múrias,2016,1,0.0
3893,E McNeill,2017,2,0.0
3894,EA - Maxis,2009,2,0.0
3895,"EA - Maxis,Aspyr (Mac)",2003,2,0.0
3896,EA Black Box,2008,2,0.0
3897,EA Los Angeles,2007,2,0.0
3898,EA Los Angeles,2008,1,0.0
3899,EA Los Angeles,2009,2,0.0
3900,EA Los Angeles,2010,1,0.0
3901,EA Redwood Shores,2008,1,0.0
3902,ECC GAMES SP. Z O.O.,2016,3,0.0
3903,ECC GAMES SP. Z O.O.,2017,2,0.0
3904,EDEVOX,2016,4,0.0
3905,EGCL,2015,4,0.0
3906,EHTechnology,2017,15,0.0
3907,EJRGames,2016,15,0.0
3908,EJRGames,2017,9,0.0
3909,ENKSoft,2015,3,0.0
3910,ENTERi,2016,6,0.0
3911,EP Games®,2017,4,0.0
3912,EPICBEYOND Studios,2017,6,0.0
3913,EQ Studios,2017,2,0.0
3914,ERS G Studios,2016,14,0.0
3915,ERS G Studios,2017,28,0.0
3916,ERS G studios,2017,2,0.0
3917,ERS G-Studios,2016,2,0.0
3918,ERS Game Studios,2016,2,0.0
3919,ERS Games Studio,2016,2,0.0
3920,ES Team,2007,1,100.0
3921,ESEA,2016,2,50.0
3922,ESTsoft Corp.,2016,4,100.0
3923,ETGgames,2018,3,0.0
3924,EVERYDAYiPLAY,2017,3,100.0
3925,EVGA,2014,1,100.0
3926,EVXIO,2017,1,0.0
3927,EXAMU,2016,1,0.0
3928,EXAMU Inc.,2015,1,0.0
3929,EXE-CREATE,2015,3,0.0
3930,EXOR Studios,2008,1,100.0
3931,EXOR Studios,2013,3,0.0
3932,EXOR Studios,2017,3,0.0
3933,"EXOR Studios,Exor Studios",2017,3,0.0
3934,EZDesigner,2015,3,0.0
3935,Eagle Dynamics,2015,1,0.0
3936,Eagle Dynamics SA,2010,1,0.0
3937,Eagle Dynamics SA,2011,1,0.0
3938,Eagle Dynamics SA,2012,4,0.0
3939,Eagle Dynamics SA,2013,2,0.0
3940,Eagle Dynamics SA,2014,3,0.0
