,Desarrollador,sentiment_analysis
12783,Undead Labs,2
12784,Undead Labs,2
12785,Undead Labs,2
12786,Undead Labs,2
12787,Undead Labs,2
12788,Undead Labs,0
12789,Undead Labs,2
12790,Undead Labs,2
12791,Undead Labs,2
12792,Undead Labs,2
12793,Undead Labs,2
12794,Undead Labs,2
12795,Undead Labs,2
12796,Undead Labs,2
12797,Undead Labs,2
12799,Undead Labs,2
12802,Undead Labs,2
12803,Undead Labs,0
12805,Undead Labs,0
12806,Undead Labs,2
12807,Undead Labs,2
12808,Undead Labs,2
12809,Undead Labs,2
12810,Undead Labs,0
12811,Undead Labs,0
12812,Undead Labs,2
12813,Undead Labs,2
12815,Undead Labs,0
12816,Undead Labs,0
12817,Undead Labs,2
12818,Undead Labs,0
12819,Undead Labs,2
12820,Undead Labs,2
12821,Undead Labs,2
12822,Undead Labs,2
12823,Undead Labs,0
12824,Undead Labs,2
12825,Undead Labs,2
12826,Undead Labs,2
12827,Undead Labs,2
12828,Undead Labs,2
12829,Undead Labs,2
12830,Undead Labs,0
12831,Undead Labs,2
12832,Undead Labs,2
12833,Undead Labs,2
12834,Undead Labs,2
12835,Undead Labs,2
12836,Undead Labs,2
12837,Undead Labs,2
12838,Undead Labs,2
12839,Undead Labs,2
12840,Transhuman Design,2
12841,Transhuman Design,2
12842,Transhuman Design,2
12844,Transhuman Design,2
12845,Transhuman Design,2
12846,Transhuman Design,2
12847,Transhuman Design,2
12848,Transhuman Design,2
12849,Transhuman Design,2
12851,Transhuman Design,2
12852,Transhuman Design,2
12853,Transhuman Design,2
12864,"Hopoo Games, LLC",2
12865,"Hopoo Games, LLC",2
12868,"Hopoo Games, LLC",2
12869,"Hopoo Games, LLC",2
12870,"Hopoo Games, LLC",2
12872,"Hopoo Games, LLC",2
12873,"Hopoo Games, LLC",2
12874,"Hopoo Games, LLC",2
12875,"Hopoo Games, LLC",2
12877,"Hopoo Games, LLC",2
12878,"Hopoo Games, LLC",2
12879,"Hopoo Games, LLC",2
12880,"Hopoo Games, LLC",2
12882,"Hopoo Games, LLC",2
12883,"Hopoo Games, LLC",2
12885,"Hopoo Games, LLC",0
12886,"Hopoo Games, LLC",0
12887,"Hopoo Games, LLC",2
12892,"Hopoo Games, LLC",2
12893,"Hopoo Games, LLC",0
12894,"Hopoo Games, LLC",0
12895,"Hopoo Games, LLC",2
12896,"Hopoo Games, LLC",2
12897,"Hopoo Games, LLC",2
12898,"Hopoo Games, LLC",2
12899,"Hopoo Games, LLC",2
12900,"Hopoo Games, LLC",0
12901,"Hopoo Games, LLC",2
12902,"Hopoo Games, LLC",2
12903,"Hopoo Games, LLC",0
12904,"Hopoo Games, LLC",2
12905,"Hopoo Games, LLC",2
12906,"Hopoo Games, LLC",0
12907,"Hopoo Games, LLC",2
12910,"Hopoo Games, LLC",2
12911,"Hopoo Games, LLC",2
12912,"Hopoo Games, LLC",2
12915,"Hopoo Games, LLC",2
12916,"Hopoo Games, LLC",2
12917,"Hopoo Games, LLC",2
12920,"Hopoo Games, LLC",2
12921,"Hopoo Games, LLC",2
12922,"Hopoo Games, LLC",2
12924,"Hopoo Games, LLC",2
12925,"Hopoo Games, LLC",2
12926,"Hopoo Games, LLC",2
12927,"Hopoo Games, LLC",2
12929,"Hopoo Games, LLC",2
12930,"Hopoo Games, LLC",2
12931,"Hopoo Games, LLC",2
12932,"Hopoo Games, LLC",2
12934,"Hopoo Games, LLC",2
12935,"Hopoo Games, LLC",2
12937,"Hopoo Games, LLC",0
12938,"Hopoo Games, LLC",0
12939,"Hopoo Games, LLC",2
12944,"Hopoo Games, LLC",2
12945,"Hopoo Games, LLC",0
12946,"Hopoo Games, LLC",0
12947,"Hopoo Games, LLC",2
12948,"Hopoo Games, LLC",2
12949,"Hopoo Games, LLC",2
12950,"Hopoo Games, LLC",2
12951,"Hopoo Games, LLC",2
12952,"Hopoo Games, LLC",0
12953,"Hopoo Games, LLC",2
12954,"Hopoo Games, LLC",2
12955,"Hopoo Games, LLC",0
12956,"Hopoo Games, LLC",2
12957,"Hopoo Games, LLC",2
12958,"Hopoo Games, LLC",0
12959,"Hopoo Games, LLC",2
12962,"Hopoo Games, LLC",2
12963,"Hopoo Games, LLC",2
12964,"Hopoo Games, LLC",2
12967,"Hopoo Games, LLC",2
12968,"Hopoo Games, LLC",2
12969,"Hopoo Games, LLC",2
12972,"Hopoo Games, LLC",2
12973,"Hopoo Games, LLC",2
12974,"Hopoo Games, LLC",2
12976,"Hopoo Games, LLC",2
12977,"Hopoo Games, LLC",2
12978,"Hopoo Games, LLC",2
12979,"Hopoo Games, LLC",2
12981,"Hopoo Games, LLC",2
12982,"Hopoo Games, LLC",2
12983,"Hopoo Games, LLC",2
12984,"Hopoo Games, LLC",2
12986,"Hopoo Games, LLC",2
12987,"Hopoo Games, LLC",2
12989,"Hopoo Games, LLC",0
12990,"Hopoo Games, LLC",0
12991,"Hopoo Games, LLC",2
12996,"Hopoo Games, LLC",2
12997,"Hopoo Games, LLC",0
12998,"Hopoo Games, LLC",0
12999,"Hopoo Games, LLC",2
13000,"Hopoo Games, LLC",2
13001,"Hopoo Games, LLC",2
13002,"Hopoo Games, LLC",2
13003,"Hopoo Games, LLC",2
13004,"Hopoo Games, LLC",0
13005,"Hopoo Games, LLC",2
13006,"Hopoo Games, LLC",2
13007,"Hopoo Games, LLC",0
13008,"Hopoo Games, LLC",2
13009,"Hopoo Games, LLC",2
13010,"Hopoo Games, LLC",0
13011,"Hopoo Games, LLC",2
13014,"Hopoo Games, LLC",2
13015,"Hopoo Games, LLC",2
13016,"Hopoo Games, LLC",2
13019,"Hopoo Games, LLC",2
13020,Hanako Games,2
13021,Hanako Games,0
13022,Hanako Games,0
13023,Hanako Games,2
13024,Hanako Games,2
13025,Hanako Games,0
13026,Hanako Games,0
13027,Hanako Games,2
13028,Hanako Games,2
13029,Hanako Games,0
13030,Hanako Games,0
13031,Hanako Games,2
13032,Hanako Games,2
13033,Hanako Games,0
13034,Hanako Games,0
13035,Hanako Games,2
13036,The Indie Stone,2
13037,The Indie Stone,2
13038,The Indie Stone,2
13039,The Indie Stone,2
13040,The Indie Stone,2
13041,The Indie Stone,2
13042,The Indie Stone,2
13044,The Indie Stone,0
13045,The Indie Stone,2
13046,The Indie Stone,0
13047,The Indie Stone,2
13048,The Indie Stone,2
13049,The Indie Stone,0
13050,The Indie Stone,2
13051,The Indie Stone,2
13052,The Indie Stone,2
13053,The Indie Stone,2
13054,The Indie Stone,2
13055,The Indie Stone,2
13056,The Indie Stone,2
13057,The Indie Stone,2
13059,The Indie Stone,0
13060,The Indie Stone,2
13061,The Indie Stone,0
13062,The Indie Stone,2
13063,The Indie Stone,2
13064,The Indie Stone,0
13065,The Indie Stone,2
13066,The Indie Stone,2
13067,The Indie Stone,2
13068,The Indie Stone,2
13069,The Indie Stone,2
13070,The Indie Stone,2
13071,The Indie Stone,2
13072,The Indie Stone,2
13074,The Indie Stone,0
13075,The Indie Stone,2
13076,The Indie Stone,0
13077,The Indie Stone,2
13078,The Indie Stone,2
13079,The Indie Stone,0
13080,The Indie Stone,2
13081,The Indie Stone,2
13082,The Indie Stone,2
13083,The Indie Stone,2
13084,The Indie Stone,2
13085,The Indie Stone,2
13086,The Indie Stone,2
13087,The Indie Stone,2
13089,The Indie Stone,0
13090,The Indie Stone,2
13091,The Indie Stone,0
13092,The Indie Stone,2
13093,The Indie Stone,2
13094,The Indie Stone,0
13095,The Indie Stone,2
13096,nan,2
13097,nan,2
13098,nan,2
13099,nan,2
13100,nan,2
13101,nan,2
13102,nan,2
13103,nan,2
13104,nan,2
13105,nan,2
13106,2Play,2
13107,2Play,2
13108,2Play,2
13109,2Play,2
13111,2Play,2
13112,2Play,2
13113,2Play,2
13114,2Play,2
13116,2Play,2
13117,2Play,2
13118,2Play,2
13119,2Play,2
13121,2Play,2
13122,2Play,2
13123,2Play,2
13124,2Play,2
13127,Flyleap Studios Pty. Ltd.,2
13128,Flyleap Studios Pty. Ltd.,2
13129,Flyleap Studios Pty. Ltd.,2
13130,Flyleap Studios Pty. Ltd.,2
13131,Ubisoft Montreal,2
13132,Ubisoft Montreal,2
13134,Ubisoft Montreal,2
13136,Ubisoft Montreal,2
13137,Ubisoft Montreal,2
13140,Ubisoft Montreal,2
13141,Ubisoft Montreal,2
13144,Ubisoft Montreal,2
13146,Ubisoft Montreal,2
13150,Ubisoft Montreal,2
13152,Ubisoft Montreal,2
13154,Ubisoft Montreal,0
13156,Ubisoft Montreal,2
13157,Ubisoft Montreal,2
13158,Ubisoft Montreal,2
13159,Ubisoft Montreal,2
13161,Ubisoft Montreal,2
13163,Ubisoft Montreal,2
13164,Ubisoft Montreal,2
13167,Ubisoft Montreal,2
13168,Ubisoft Montreal,2
13171,Ubisoft Montreal,2
13173,Ubisoft Montreal,2
13177,Ubisoft Montreal,2
13179,Ubisoft Montreal,2
13181,Ubisoft Montreal,0
13183,Ubisoft Montreal,2
13184,Ubisoft Montreal,2
13186,Xtal Sword,2
13187,Xtal Sword,2
13188,Xtal Sword,2
13190,Xtal Sword,2
13191,Xtal Sword,2
13192,Xtal Sword,2
13193,Revolution Software Ltd,2
13194,Harvester Games,2
13195,Harvester Games,2
13196,Harvester Games,2
13197,Harvester Games,2
13199,D-Pad Studio,2
13200,D-Pad Studio,2
13202,D-Pad Studio,2
13203,D-Pad Studio,2
13205,Cryptic Studios,2
13206,Cryptic Studios,0
13207,Cryptic Studios,2
13208,Cryptic Studios,2
13209,Cryptic Studios,2
13211,Cryptic Studios,2
13213,Cryptic Studios,2
13214,Cryptic Studios,2
13215,Cryptic Studios,2
13216,Cryptic Studios,2
13218,Cryptic Studios,0
13219,Cryptic Studios,2
13220,Cryptic Studios,2
13221,Cryptic Studios,0
13222,Cryptic Studios,2
13223,Cryptic Studios,0
13224,Cryptic Studios,2
13225,Cryptic Studios,2
13226,Cryptic Studios,2
13228,Cryptic Studios,2
13229,Cryptic Studios,2
13230,Cryptic Studios,2
13231,Cryptic Studios,2
13232,Cryptic Studios,2
13234,Cryptic Studios,2
13235,Cryptic Studios,2
13238,Cryptic Studios,2
13239,Cryptic Studios,0
13240,Cryptic Studios,2
13241,Cryptic Studios,2
13242,Cryptic Studios,2
13244,Cryptic Studios,2
13246,Cryptic Studios,2
13247,Cryptic Studios,2
13248,Cryptic Studios,2
13249,Cryptic Studios,2
13251,Cryptic Studios,0
13252,Cryptic Studios,2
13253,Cryptic Studios,2
13254,Cryptic Studios,0
13255,Cryptic Studios,2
13256,Cryptic Studios,0
13257,Cryptic Studios,2
13258,Cryptic Studios,2
13259,Cryptic Studios,2
13261,Cryptic Studios,2
13262,Cryptic Studios,2
13263,Cryptic Studios,2
13264,Cryptic Studios,2
13265,Cryptic Studios,2
13267,Cryptic Studios,2
13268,Cryptic Studios,2
13271,Cryptic Studios,2
13272,Cryptic Studios,0
13273,Cryptic Studios,2
13274,Cryptic Studios,2
13275,Cryptic Studios,2
13277,Cryptic Studios,2
13279,Cryptic Studios,2
13280,Cryptic Studios,2
13281,Cryptic Studios,2
13282,Cryptic Studios,2
13284,Cryptic Studios,0
13285,Cryptic Studios,2
13286,Cryptic Studios,2
13287,Cryptic Studios,0
13288,Cryptic Studios,2
13289,Cryptic Studios,0
13290,Cryptic Studios,2
13291,Cryptic Studios,2
13292,Cryptic Studios,2
13294,Cryptic Studios,2
13295,Cryptic Studios,2
13296,Cryptic Studios,2
13297,Cryptic Studios,2
13298,Cryptic Studios,2
13300,Cryptic Studios,2
13301,Cryptic Studios,2
13304,Cryptic Studios,2
13305,Cryptic Studios,0
13306,Cryptic Studios,2
13307,Cryptic Studios,2
13308,Cryptic Studios,2
13310,Cryptic Studios,2
13312,Cryptic Studios,2
13313,Cryptic Studios,2
13314,Cryptic Studios,2
13315,Cryptic Studios,2
13317,Cryptic Studios,0
13318,Cryptic Studios,2
13319,Cryptic Studios,2
13320,Cryptic Studios,0
13321,Cryptic Studios,2
13322,Cryptic Studios,0
13323,Cryptic Studios,2
13324,Cryptic Studios,2
13325,Cryptic Studios,2
13327,Cryptic Studios,2
13328,Cryptic Studios,2
13329,Cryptic Studios,2
13330,Cryptic Studios,2
13331,Cryptic Studios,2
13333,Cryptic Studios,2
13334,Cryptic Studios,2
13337,Cryptic Studios,2
13338,Cryptic Studios,0
13339,Cryptic Studios,2
13340,Cryptic Studios,2
13341,Cryptic Studios,2
13343,Cryptic Studios,2
13345,Cryptic Studios,2
13346,Cryptic Studios,2
13347,Cryptic Studios,2
13348,Cryptic Studios,2
13350,Cryptic Studios,0
13351,Cryptic Studios,2
13352,Cryptic Studios,2
13353,Cryptic Studios,0
13354,Cryptic Studios,2
13355,Cryptic Studios,0
13356,Cryptic Studios,2
13357,Cryptic Studios,2
13358,Cryptic Studios,2
13360,Cryptic Studios,2
13361,Cryptic Studios,2
13362,Cryptic Studios,2
13363,Cryptic Studios,2
13364,Cryptic Studios,2
13366,Cryptic Studios,2
13367,Cryptic Studios,2
13369,Clickteam,0
13370,Clickteam,2
13371,Clickteam,0
13372,Clickteam,2
13373,Clickteam,0
13374,Clickteam,2
13375,Clickteam,0
13376,Clickteam,2
13377,Nival,2
13379,Nival,2
13381,Nival,2
13383,Nival,2
13385,Nival,2
13387,Nival,2
13389,Netcore Games,2
13390,Netcore Games,2
13391,Netcore Games,2
13393,Messhof,2
13394,Messhof,2
13395,Messhof,0
13396,Messhof,2
13398,Messhof,0
13399,Messhof,2
13400,Messhof,2
13401,Messhof,2
13402,Messhof,2
13403,Messhof,2
13404,Messhof,2
13405,Messhof,2
13406,Messhof,0
13407,Messhof,2
13408,Messhof,2
13409,Messhof,2
13410,Messhof,0
13411,Messhof,2
13413,Messhof,0
13414,Messhof,2
13415,Messhof,2
13416,Messhof,2
13417,Messhof,2
13418,Messhof,2
13419,Messhof,2
13420,Messhof,2
13421,Messhof,0
13422,Messhof,2
13423,Messhof,2
13424,Messhof,2
13425,Messhof,0
13426,Messhof,2
13428,Messhof,0
13429,Messhof,2
13430,Messhof,2
13431,Messhof,2
13432,Messhof,2
13433,Messhof,2
13434,Messhof,2
13435,Messhof,2
13436,Messhof,0
13437,Messhof,2
13438,Ubisoft Sofia,2
13439,Ubisoft Sofia,2
13440,Alan Edwardes,2
13441,Alan Edwardes,0
13442,Alan Edwardes,2
13443,Alan Edwardes,2
13444,Alan Edwardes,2
13445,Alan Edwardes,2
13446,Alan Edwardes,2
13448,Alan Edwardes,2
13449,Alan Edwardes,0
13450,Alan Edwardes,0
13452,Alan Edwardes,2
13454,Alan Edwardes,2
13455,Alan Edwardes,0
13456,Alan Edwardes,2
13457,Alan Edwardes,2
13458,Alan Edwardes,2
13459,Alan Edwardes,2
13460,Alan Edwardes,2
13462,Alan Edwardes,2
13463,Alan Edwardes,0
13464,Alan Edwardes,0
13466,Alan Edwardes,2
13468,Alan Edwardes,2
13469,Alan Edwardes,0
13470,Alan Edwardes,2
13471,Alan Edwardes,2
13472,Alan Edwardes,2
13473,Alan Edwardes,2
13474,Alan Edwardes,2
13476,Alan Edwardes,2
13477,Alan Edwardes,0
13478,Alan Edwardes,0
13480,Alan Edwardes,2
13482,Alan Edwardes,2
13483,Alan Edwardes,0
13484,Alan Edwardes,2
13485,Alan Edwardes,2
13486,Alan Edwardes,2
13487,Alan Edwardes,2
13488,Alan Edwardes,2
13490,Alan Edwardes,2
13491,Alan Edwardes,0
13492,Alan Edwardes,0
13494,Alan Edwardes,2
13496,New World Interactive,2
13497,New World Interactive,2
13498,New World Interactive,2
13500,New World Interactive,0
13501,New World Interactive,2
13505,New World Interactive,2
13506,New World Interactive,2
13507,New World Interactive,2
13508,New World Interactive,2
13510,New World Interactive,2
13512,New World Interactive,0
13513,New World Interactive,2
13514,New World Interactive,2
13515,New World Interactive,2
13516,New World Interactive,2
13517,New World Interactive,2
13518,New World Interactive,0
13519,New World Interactive,2
13520,New World Interactive,2
13521,New World Interactive,2
13522,New World Interactive,2
13524,New World Interactive,2
13525,New World Interactive,0
13526,New World Interactive,2
13528,New World Interactive,0
13529,New World Interactive,2
13530,New World Interactive,2
13531,New World Interactive,2
13532,New World Interactive,0
13534,New World Interactive,2
13535,New World Interactive,2
13537,New World Interactive,2
13539,New World Interactive,0
13540,New World Interactive,2
13543,New World Interactive,2
13545,New World Interactive,2
13546,New World Interactive,2
13547,New World Interactive,2
13550,New World Interactive,2
13552,New World Interactive,2
13554,New World Interactive,2
13555,New World Interactive,2
13556,New World Interactive,2
13557,New World Interactive,0
13558,New World Interactive,2
13559,New World Interactive,0
13561,New World Interactive,0
13562,New World Interactive,2
13564,New World Interactive,2
13565,New World Interactive,2
13567,New World Interactive,2
13568,New World Interactive,0
13570,New World Interactive,2
13571,New World Interactive,2
13572,New World Interactive,2
13573,New World Interactive,2
13575,New World Interactive,0
13576,New World Interactive,0
13577,New World Interactive,2
13578,New World Interactive,0
13579,New World Interactive,2
13581,New World Interactive,2
13582,New World Interactive,2
13583,New World Interactive,2
13584,New World Interactive,2
13585,New World Interactive,2
13586,New World Interactive,2
13587,New World Interactive,2
13588,New World Interactive,2
13589,New World Interactive,2
13590,New World Interactive,2
13591,New World Interactive,2
13593,New World Interactive,0
13594,New World Interactive,2
13598,New World Interactive,2
13599,New World Interactive,2
13600,New World Interactive,2
13601,New World Interactive,2
13603,New World Interactive,2
13605,New World Interactive,0
13606,New World Interactive,2
13607,New World Interactive,2
13608,New World Interactive,2
13609,New World Interactive,2
13610,New World Interactive,2
13611,New World Interactive,0
13612,New World Interactive,2
13613,New World Interactive,2
13614,New World Interactive,2
13615,New World Interactive,2
13617,New World Interactive,2
13618,New World Interactive,0
13619,New World Interactive,2
13621,New World Interactive,0
13622,New World Interactive,2
13623,New World Interactive,2
13624,New World Interactive,2
13625,New World Interactive,0
13627,New World Interactive,2
13628,New World Interactive,2
13630,New World Interactive,2
13632,New World Interactive,0
13633,New World Interactive,2
13636,New World Interactive,2
13638,New World Interactive,2
13639,New World Interactive,2
13640,New World Interactive,2
13643,New World Interactive,2
13645,New World Interactive,2
13647,New World Interactive,2
13648,New World Interactive,2
13649,New World Interactive,2
13650,New World Interactive,0
13651,New World Interactive,2
13652,New World Interactive,0
13654,New World Interactive,0
13655,New World Interactive,2
13657,New World Interactive,2
13658,New World Interactive,2
13660,New World Interactive,2
13661,New World Interactive,0
13663,New World Interactive,2
13664,New World Interactive,2
13665,New World Interactive,2
13666,New World Interactive,2
13668,New World Interactive,0
13669,New World Interactive,0
13670,New World Interactive,2
13671,New World Interactive,0
13672,New World Interactive,2
13674,New World Interactive,2
13675,New World Interactive,2
13676,New World Interactive,2
13677,New World Interactive,2
13678,New World Interactive,2
13679,New World Interactive,2
13680,New World Interactive,2
13681,New World Interactive,2
13682,New World Interactive,2
13683,New World Interactive,2
13684,New World Interactive,2
13686,New World Interactive,0
13687,New World Interactive,2
13691,New World Interactive,2
13692,New World Interactive,2
13693,New World Interactive,2
13694,New World Interactive,2
13696,New World Interactive,2
13698,New World Interactive,0
13699,New World Interactive,2
13700,New World Interactive,2
13701,New World Interactive,2
13702,New World Interactive,2
13703,New World Interactive,2
13704,New World Interactive,0
13705,New World Interactive,2
13706,New World Interactive,2
13707,New World Interactive,2
13708,New World Interactive,2
13710,New World Interactive,2
13711,New World Interactive,0
13712,New World Interactive,2
13714,New World Interactive,0
13715,New World Interactive,2
13716,New World Interactive,2
13717,New World Interactive,2
13718,New World Interactive,0
13720,New World Interactive,2
13721,New World Interactive,2
13723,New World Interactive,2
13725,New World Interactive,0
13726,New World Interactive,2
13729,New World Interactive,2
13731,New World Interactive,2
13732,New World Interactive,2
13733,New World Interactive,2
13736,New World Interactive,2
13738,New World Interactive,2
13740,New World Interactive,2
13741,New World Interactive,2
13742,New World Interactive,2
13743,New World Interactive,0
13744,New World Interactive,2
13745,New World Interactive,0
13747,New World Interactive,0
13748,New World Interactive,2
13750,New World Interactive,2
13751,New World Interactive,2
13753,New World Interactive,2
13754,New World Interactive,0
13756,New World Interactive,2
13757,New World Interactive,2
13758,New World Interactive,2
13759,New World Interactive,2
13761,New World Interactive,0
13762,New World Interactive,0
13763,New World Interactive,2
13764,New World Interactive,0
13765,New World Interactive,2
13767,New World Interactive,2
13768,New World Interactive,2
13769,New World Interactive,2
13770,New World Interactive,2
13771,New World Interactive,2
13772,New World Interactive,2
13773,New World Interactive,2
13774,New World Interactive,2
13776,"Elias Viglione,Jussi Kukkonen",2
13777,"Elias Viglione,Jussi Kukkonen",2
13779,"Elias Viglione,Jussi Kukkonen",2
13780,"Elias Viglione,Jussi Kukkonen",0
13781,"Elias Viglione,Jussi Kukkonen",2
13783,"Elias Viglione,Jussi Kukkonen",2
13786,"Elias Viglione,Jussi Kukkonen",2
13787,"Elias Viglione,Jussi Kukkonen",2
13789,"Elias Viglione,Jussi Kukkonen",2
13790,"Elias Viglione,Jussi Kukkonen",0
13791,"Elias Viglione,Jussi Kukkonen",2
13793,"Elias Viglione,Jussi Kukkonen",2
13796,"Elias Viglione,Jussi Kukkonen",2
13797,"Elias Viglione,Jussi Kukkonen",2
13799,"Elias Viglione,Jussi Kukkonen",2
13800,"Elias Viglione,Jussi Kukkonen",0
13801,"Elias Viglione,Jussi Kukkonen",2
13803,"Elias Viglione,Jussi Kukkonen",2
13806,"Elias Viglione,Jussi Kukkonen",2
13807,"Elias Viglione,Jussi Kukkonen",2
13809,"Elias Viglione,Jussi Kukkonen",2
13810,"Elias Viglione,Jussi Kukkonen",0
13811,"Elias Viglione,Jussi Kukkonen",2
13813,"Elias Viglione,Jussi Kukkonen",2
13816,"Elias Viglione,Jussi Kukkonen",2
13817,"Elias Viglione,Jussi Kukkonen",2
13819,"Elias Viglione,Jussi Kukkonen",2
13820,"Elias Viglione,Jussi Kukkonen",0
13821,"Elias Viglione,Jussi Kukkonen",2
13823,"Elias Viglione,Jussi Kukkonen",2
13828,Senscape,2
13829,Senscape,2
13830,Senscape,2
13831,Senscape,2
13832,OVERKILL - a Starbreeze Studio.,2
13833,OVERKILL - a Starbreeze Studio.,2
13836,Young Horses,2
13839,Young Horses,2
13840,Young Horses,2
13841,Young Horses,2
13844,Young Horses,2
13845,Young Horses,2
13846,Young Horses,2
13850,Young Horses,2
13853,Young Horses,2
13854,Young Horses,2
13855,Young Horses,2
13858,Young Horses,2
13859,Young Horses,2
13860,Young Horses,2
13864,Young Horses,2
13867,Young Horses,2
13868,Young Horses,2
13869,Young Horses,2
13872,Young Horses,2
13873,Young Horses,2
13874,Young Horses,2
13876,Idea Factory,2
13877,Idea Factory,2
13878,Idea Factory,2
13879,Idea Factory,2
13880,Idea Factory,2
13881,Idea Factory,2
13882,Arc System Works,2
13885,Arc System Works,2
13887,Krillbite Studio,2
13891,Krillbite Studio,2
13892,Krillbite Studio,2
13893,Krillbite Studio,2
13894,Krillbite Studio,2
13897,Krillbite Studio,2
13898,Krillbite Studio,2
13899,Krillbite Studio,0
13900,Krillbite Studio,2
13901,Krillbite Studio,0
13902,Krillbite Studio,2
13903,Krillbite Studio,2
13904,Krillbite Studio,0
13905,Krillbite Studio,2
13906,Krillbite Studio,0
13909,Krillbite Studio,2
13910,Krillbite Studio,2
13911,Krillbite Studio,2
13914,Krillbite Studio,2
13916,Krillbite Studio,2
13919,Krillbite Studio,0
13920,Krillbite Studio,2
13922,Krillbite Studio,2
13924,Krillbite Studio,2
13928,Krillbite Studio,2
13929,Krillbite Studio,2
13930,Krillbite Studio,2
13931,Krillbite Studio,2
13934,Krillbite Studio,2
13935,Krillbite Studio,2
13936,Krillbite Studio,0
13937,Krillbite Studio,2
13938,Krillbite Studio,0
13939,Krillbite Studio,2
13940,Krillbite Studio,2
13941,Krillbite Studio,0
13942,Krillbite Studio,2
13943,Krillbite Studio,0
13946,Krillbite Studio,2
13947,Krillbite Studio,2
13948,Krillbite Studio,2
13951,Krillbite Studio,2
13953,Krillbite Studio,2
13956,Krillbite Studio,0
13957,Krillbite Studio,2
13959,Krillbite Studio,2
13961,Krillbite Studio,2
13965,Krillbite Studio,2
13966,Krillbite Studio,2
13967,Krillbite Studio,2
13968,Krillbite Studio,2
13971,Krillbite Studio,2
13972,Krillbite Studio,2
13973,Krillbite Studio,0
13974,Krillbite Studio,2
13975,Krillbite Studio,0
13976,Krillbite Studio,2
13977,Krillbite Studio,2
13978,Krillbite Studio,0
13979,Krillbite Studio,2
13980,Krillbite Studio,0
13983,Krillbite Studio,2
13984,Krillbite Studio,2
13985,Krillbite Studio,2
13988,Krillbite Studio,2
13990,Krillbite Studio,2
13993,Krillbite Studio,0
13994,Krillbite Studio,2
13996,Krillbite Studio,2
13997,"SNK CORPORATION,DotEmu",2
13998,"SNK CORPORATION,DotEmu",2
14002,"SNK CORPORATION,DotEmu",2
14003,"SNK CORPORATION,DotEmu",2
14004,"SNK CORPORATION,DotEmu",2
14005,"SNK CORPORATION,DotEmu",2
14006,"SNK CORPORATION,DotEmu",2
14007,"SNK CORPORATION,DotEmu",2
14009,Shining Rock Software LLC,2
14010,Shining Rock Software LLC,2
14013,Shining Rock Software LLC,2
14015,Shining Rock Software LLC,2
14016,Shining Rock Software LLC,0
14017,Shining Rock Software LLC,0
14018,Shining Rock Software LLC,0
14019,Shining Rock Software LLC,2
14020,Shining Rock Software LLC,2
14021,Shining Rock Software LLC,2
14022,Shining Rock Software LLC,2
14023,Shining Rock Software LLC,2
14024,Shining Rock Software LLC,2
14025,Shining Rock Software LLC,2
14026,Shining Rock Software LLC,2
14027,Shining Rock Software LLC,0
14028,Shining Rock Software LLC,2
14030,Shining Rock Software LLC,2
14031,Shining Rock Software LLC,2
14034,Shining Rock Software LLC,2
14036,Shining Rock Software LLC,2
14037,Shining Rock Software LLC,0
14038,Shining Rock Software LLC,0
14039,Shining Rock Software LLC,0
14040,Shining Rock Software LLC,2
14041,Shining Rock Software LLC,2
14042,Shining Rock Software LLC,2
14043,Shining Rock Software LLC,2
14044,Shining Rock Software LLC,2
14045,Shining Rock Software LLC,2
14046,Shining Rock Software LLC,2
14047,Shining Rock Software LLC,2
14048,Shining Rock Software LLC,0
14049,Shining Rock Software LLC,2
14051,Shining Rock Software LLC,2
14052,Shining Rock Software LLC,2
14055,Shining Rock Software LLC,2
14057,Shining Rock Software LLC,2
14058,Shining Rock Software LLC,0
14059,Shining Rock Software LLC,0
14060,Shining Rock Software LLC,0
14061,Shining Rock Software LLC,2
14062,Shining Rock Software LLC,2
14063,Shining Rock Software LLC,2
14064,Shining Rock Software LLC,2
14065,Shining Rock Software LLC,2
14066,Shining Rock Software LLC,2
14067,Shining Rock Software LLC,2
14068,Shining Rock Software LLC,2
14069,Shining Rock Software LLC,0
14070,Shining Rock Software LLC,2
14072,Matthew Brown,2
14073,Matthew Brown,2
14074,Matthew Brown,2
14077,Matt Roszak,2
14078,Matt Roszak,2
14080,Matt Roszak,2
14081,Matt Roszak,2
14082,Matt Roszak,2
14083,Matt Roszak,2
14085,Matt Roszak,2
14086,Matt Roszak,2
14087,Ubisoft Montreal,0
14088,Ubisoft Montreal,2
14089,Ubisoft Montreal,2
14090,Ubisoft Montreal,0
14091,Ubisoft Montreal,2
14092,Ubisoft Montreal,2
14093,MercurySteam,0
14094,MercurySteam,0
14095,Nomad Games,2
14096,Nomad Games,2
14097,Nomad Games,2
14098,Nomad Games,2
14099,Nomad Games,2
14100,Nomad Games,2
14101,Nomad Games,2
14102,Nomad Games,2
14103,Nomad Games,2
14104,Nomad Games,2
14105,Nomad Games,2
14106,Nomad Games,2
14111,Matt Thorson,2
14114,Matt Thorson,2
14117,Thomas Bowker,2
14118,Thomas Bowker,0
14119,Thomas Bowker,2
14120,Thomas Bowker,2
14121,Thomas Bowker,2
14124,Thomas Bowker,2
14125,Thomas Bowker,2
14126,Thomas Bowker,0
